year,month,cumulative_sales
2016,9,267.36
2016,9,267.36
2016,9,267.36
2016,9,267.36
2016,9,267.36
2016,9,267.36
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,10,49775.02
2016,12,49785.92
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
2017,1,120312.87
